chunk_id,chunk_type,primary_text,category,price,flower_type,collection_id,url,max_tokens,original_url,url_fixed,is_manually_fixed,is_verified,url_functional,might_need_n_suffix,product_exists
product_0001,product,"aromă Deffuser Midnight Pine, Spicy Clove 40 ml - Difuzor de arom Chando cu arom de pin de miezul nopii i cuioare picante, n design elegant din porelan poros n form de flori i elemente decorative",Chando,660.0,Difuzor aromă,Chando,https://xoflowers.md/difuzor-de-aroma-midnight-pine-spicy-clove-40ml/,200,https://xoflowers.md/difuzor-de-aroma-midnight-pine-spicy-clove-40ml/,True,True,True,True,False,True
product_0002,product,"aromă Deffuser Royal Guard 10Ml - Difuzor de arom Chando Royal Guard n ambalaj luxos, cu elemente elegante din porelan poros care absoarb perfect aroma-liquid",Chando,1250.0,Difuzor aromă,Chando,https://xoflowers.md/difuzor-de-aroma-pentru-automobil-royal-guard-10ml/,200,https://xoflowers.md/difuzor-de-aroma-royal-guard-10ml/,True,True,True,True,False,True
product_0003,product,"aromă Deffuser Romance 100Ml - Difuzor de arom Chando Romance cu arom romantic, nlocuiete beioarele cu elemente elegante din porelan poros sub form de flori i crengue",Chando,2700.0,Difuzor aromă,Chando,https://xoflowers.md/difuzor-de-aroma-romance-100ml/,200,https://xoflowers.md/difuzor-de-aroma-romance-100ml/,True,True,True,True,False,True
product_0004,product,"aromă Deffuser Magnolia 200Ml - Difuzor de arom Chando Magnolia cu arom floral delicat, design modern cu elemente din porelan poros care difuzeaz parfumul n mod elegant",Chando,2800.0,Difuzor aromă,Chando,https://xoflowers.md/difuzor-de-aroma-magnolia-200ml/,200,https://xoflowers.md/difuzor-de-aroma-magnolia-200ml/,True,True,True,True,False,True
product_0005,product,"aromă Deffuser Sensual Camilla 200Ml - Difuzor de arom Chando Sensual Camilla cu arom senzual de camelie, ambalaj luxos care face din acest difuzor un cadou scump i impresionant",Chando,2700.0,Difuzor aromă,Chando,https://xoflowers.md/difuzor-de-aroma-sensual-camilla-200ml/,200,https://xoflowers.md/difuzor-de-aroma-sensual-camilla-200ml/,True,True,True,True,False,True
product_0006,product,"aromă Deffuser Floral Intimacy Yellow 10Ml - Difuzor de arom Chando Floral Intimacy galben cu arom floral intim, interpret modern al artei antice a porelanului cu elemente sub form de scoici",Chando,990.0,Difuzor aromă,Chando,https://xoflowers.md/aroma-deffuser-floral-intimacy-yellow-10ml/,200,https://xoflowers.md/difuzor-de-aroma-floral-intimacy-yellow-10ml/,True,True,True,True,False,True
product_0007,product,"aromă Deffuser Floral Intimacy Liliac 10Ml - Difuzor de arom Chando Floral Intimacy n nuan liliac cu arom floral delicat, design elegant din porelan poros care umple spaiul cu un miros subtil",Chando,990.0,Difuzor aromă,Chando,https://xoflowers.md/aroma-deffuser-floral-intimacy-liliac-10ml/,200,https://xoflowers.md/difuzor-de-aroma-floral-intimacy-liliac-10ml/,True,True,True,True,False,True
product_0008,product,"aromă Deffuser Amethyst Love Mini, Sensual Camellia 35 ml - Difuzor de arom Chando Amethyst Love Mini cu arom senzual de camelie, versiune compact n design modern cu elemente din porelan poros",Chando,1250.0,Difuzor aromă,Chando,https://xoflowers.md/difuzor-de-aroma-amethyst-love-mini-sensual-camellia-35ml/,200,https://xoflowers.md/difuzor-de-aroma-amethyst-love-mini-sensual-camellia-35ml/,True,True,True,True,False,True
product_0009,product,"aromă Deffuser Amethyst Love Mini, Fresh Lily 35 ml - Difuzor de arom Chando Amethyst Love Mini cu arom proaspt de crin, design compact cu elemente elegante din porelan poros sub form de flori",Chando,1250.0,Difuzor aromă,Chando,https://xoflowers.md/aroma-deffuser-amethyst-love-mini-fresh-lily-35-ml/,200,https://xoflowers.md/difuzor-de-aroma-amethyst-love-mini-fresh-lily-35ml/,True,True,True,True,False,True
product_0010,product,"aromă Deffuser Adventurous, Orange Blossom 80 ml - Difuzor de arom Chando Adventurous cu arom de flori de portocal, perfect pentru cei care iubesc parfumurile citrice i calde",Chando,850.0,Difuzor aromă,Chando,https://xoflowers.md/difuzor-de-aroma-adventurous-orange-blossom-80ml/,200,https://xoflowers.md/difuzor-de-aroma-adventurous-orange-blossom-80ml/,True,True,True,True,False,True
product_0011,product,"aromă Deffuser Enigmatic Lotus, Fresia Valley 10 ml - Difuzor de arom Chando Enigmatic Lotus cu arom de lotus enigmatic i fresia valley, ambalaj luxos care face din acest difuzor un cadou special",Chando,1320.0,Difuzor aromă,Chando,https://xoflowers.md/aroma-deffuser-enigmatic-lotus-fresia-valley-10-ml/,200,https://xoflowers.md/difuzor-de-aroma-enigmatic-lotus-fresia-valley-10ml/,True,True,True,True,False,True
product_0012,product,"Bouquet ""Marshmallow"" - Elegant bouquet of peonies in soft pastel colors, perfect for romantic occasions and special celebrations",Peonies,1200.0,Peonies,Peonies,https://xoflowers.md/bouquet-marshmallow/,200,https://xoflowers.md/bouquet-marshmallow/,True,True,True,True,False,True
product_0013,product,"Bouquet ""51 Peonies"" - Luxurious bouquet of 51 fresh peonies for grand gestures and special occasions",Peonies,5600.0,Peony,Peonies,https://xoflowers.md/bouquet-51-peonies/,200,https://xoflowers.md/bouquet-51-peonies/,True,True,True,True,False,True
product_0014,product,"Bouquet ""Coral"" - Beautiful coral-colored peony bouquet with viburnum accents",Peonies,650.0,Peony / viburnum,Peonies,https://xoflowers.md/bouquet-coral/,200,https://xoflowers.md/bouquet-coral/,True,True,True,True,False,True
product_0015,product,"Bouquet ""Coral Blossom"" - Elegant coral peony arrangement with delicate viburnum details",Peonies,1550.0,Peony / viburnum,Peonies,https://xoflowers.md/bouquet-coral-blossom/,200,https://xoflowers.md/peonies/,True,False,True,False,False,False
product_0016,product,"Bouquet ""Luxurious Love"" - Premium mixed bouquet with hydrangea, peonies, spray roses and gerberas",Peonies,2800.0,Hydrangea / Peony / Rose spray / Gerbera,Peonies,https://xoflowers.md/bouquet-luxurious-love/,200,https://xoflowers.md/peonies/,True,True,True,True,False,True
product_0017,product,"Bouquet ""Sweetness of Feeling"" - Tender combination of hydrangeas and peonies in soft romantic colors",Peonies,4400.0,Hydrangea / Peony,Peonies,https://xoflowers.md/bouquet-sweetness-of-feeling/,200,https://xoflowers.md/peonies/,True,True,True,True,False,True
product_0018,product,"Bouquet ""Blue Sky"" - Fresh blue and white arrangement with hydrangeas and peonies",Peonies,4600.0,Hydrangea / Peony,Peonies,https://xoflowers.md/bouquet-blue-sky/n/,200,https://xoflowers.md/peonies/,True,True,True,True,False,True
product_0019,product,"Basket with Flowers ""Loving Heart"" - Heart-shaped basket arrangement with peonies and hydrangeas",Peonies,5100.0,Peony / Hydrangea,Peonies,https://xoflowers.md/basket-with-flowers-loving-heart/,200,https://xoflowers.md/peonies/,True,True,True,True,False,True
product_0020,product,Bouquet of Peonies - Classic peony bouquet in premium arrangement,Peonies,6200.0,Peon,Peonies,https://xoflowers.md/bouquet-of-peonies/n/,200,https://xoflowers.md/peonies/,True,False,,True,True,False
product_0021,product,Basket with Peonies - Elegant basket filled with fresh peonies - premium version,Peonies,6100.0,Peony,Peonies,https://xoflowers.md/basket-with-peonies,200,https://xoflowers.md/peonies/,True,False,,True,False,False
product_0022,product,Basket with Peonies - Beautiful basket arrangement with fresh peonies - standard version,Peonies,3100.0,Peony,Peonies,https://xoflowers.md/basket-with-peonies,200,https://xoflowers.md/peonies/,True,False,,True,False,False
product_0023,product,"Bouquet ""Pink Palette"" - Romantic pink bouquet with peonies, spray roses and classic roses",Peonies,2000.0,Peon / Rose spray / Rose,Peonies,https://xoflowers.md/bouquet-pink-palette/,200,https://xoflowers.md/peonies/,True,False,True,True,True,True
product_0024,product,"Bouquet ""Raspberry"" - Unique bouquet with peonies and raspberry branches for a natural touch",Peonies,3350.0,Peon / raspberry branches,Peonies,https://xoflowers.md/bouquet-raspberry/n/,200,https://xoflowers.md/peonies/,True,False,True,True,False,False
product_0025,product,Bouquet of Coral Peonies - Beautiful coral-colored peonies with eucalyptus accents,Peonies,700.0,Peon / eucalypt,Peonies,https://xoflowers.md/,200,https://xoflowers.md/peonies/,True,False,,True,False,False
product_0026,product,Bouquet of Pink Peonies - Soft pink peonies with fresh eucalyptus for a delicate arrangement,Peonies,570.0,Peon / eucalypt,Peonies,https://xoflowers.md/bouquet-of-pink-peonies/,200,https://xoflowers.md/bouquet-of-pink-peonies/,True,True,True,True,False,True
product_0027,product,"Box with Flowers ""Summer Morning"" - Mixed flower box with hydrangea, gerbera, peony, eustoma and mattiola",Peonies,2000.0,Hydrangea / Gerbera / Peony / Eustoma / mattiola,Peonies,https://xoflowers.md/box-with-flowers-summer-morning/,200,https://xoflowers.md/peonies/,True,True,True,True,False,True
product_0028,product,"Bouquet ""Warmth"" - Warm and bright bouquet combining peonies with cheerful gerberas",Peonies,1750.0,Peony / Gerbera,Peonies,https://xoflowers.md/bouquet-warmth-of-petals/n/,200,https://xoflowers.md/peonies/,True,False,,True,True,False
product_0029,product,"Buchet ""Marshmallow"" - Delicate marshmallow-colored peonies with oxypetalum details",Peonies,1615.0,Peonies / oxypetalum,Peonies,https://xoflowers.md/buchet-marshmallow/,200,https://xoflowers.md/peonies/,True,False,True,True,False,True
product_0030,product,"Bouquet ""Sarah"" - Classic peony bouquet named Sarah, perfect for any occasion",Peonies,1650.0,Peonies,Peonies,https://xoflowers.md/bouquet-sarah/,200,https://xoflowers.md/peonies/,True,False,True,True,True,True
product_0031,product,"Bouquet ""Kisses"" - Romantic bouquet with peonies and hydrangeas for sweet moments",Peonies,1100.0,Pieony / Hydrangea,Peonies,https://xoflowers.md/bouquet-kisses/,200,https://xoflowers.md/peonies/,True,True,True,True,True,True
product_0032,product,"Bouquet ""The Scent of Peonies"" - Fragrant peony bouquet with tanacetum for added texture",Peonies,1550.0,Peonies / tanacetum,Peonies,https://xoflowers.md/bouquet-the-scent-of-peonies/,200,https://xoflowers.md/bouquet-the-scent-of-peonies/,True,True,True,True,False,True
